x,y,Yield,D1,D2,D3,D4
30,20,3.88935373936425,0,1,1,1
32.5,20,3.76588258668424,0,1,1,1
0,22.5,3.66865151801812,0,1,1,1
2.5,22.5,3.7910321716797,0,1,1,1
5,22.5,3.78554259108703,0,1,1,1
7.5,22.5,3.74460795693295,0,1,1,1
10,22.5,3.84102603782787,1,1,0,0
12.5,22.5,3.7907501579071,1,1,0,0
15,22.5,3.88247252875078,1,1,0,0
17.5,22.5,3.78123240251446,1,1,0,0
20,22.5,3.94302633363542,1,1,0,0
22.5,22.5,3.83819594116788,1,1,0,0
25,22.5,4.00262227342461,0,1,1,1
27.5,22.5,3.85722729677285,0,1,1,1
30,22.5,3.78774750752139,0,1,1,1
32.5,22.5,3.83308378801184,0,1,1,1
0,25,3.77149762730013,0,1,1,1
2.5,25,3.71145132202535,0,1,1,1
5,25,3.76355707409205,0,1,1,1
7.5,25,3.83308183483756,0,1,1,1
10,25,3.84098663080258,1,1,0,0
12.5,25,3.88030470647564,1,1,0,0
15,25,3.8476092682426,1,1,0,0
17.5,25,3.77625604983409,1,1,0,0
20,25,3.82038519894432,1,1,0,0
22.5,25,3.75384014601504,1,1,0,0
25,25,3.93117223133041,0,1,1,1
27.5,25,3.85321182718926,0,1,1,1
30,25,3.83525698125805,0,1,1,1
32.5,25,3.806813192135,0,1,1,1
0,27.5,3.82470431370618,0,1,1,1
2.5,27.5,3.86813848319401,0,1,1,1
5,27.5,3.80048787646068,0,1,1,1
7.5,27.5,3.86808890573345,0,1,1,1
10,27.5,3.95181360954636,1,1,0,0
12.5,27.5,3.91336007833006,1,1,0,0
15,27.5,3.89660153589744,1,1,0,0
17.5,27.5,3.7162764470249,1,1,0,0
20,27.5,3.87326229961334,1,1,0,0
22.5,27.5,3.65393153987084,1,1,0,0
25,27.5,3.86109996389986,0,1,1,1
27.5,27.5,3.75528522170229,0,1,1,1
30,27.5,3.71892600281358,0,1,1,1
32.5,27.5,3.74622807845052,0,1,1,1
0,30,3.80062026906462,0,1,1,1
2.5,30,3.95620084198189,0,1,1,1
5,30,4.01041279693952,0,1,1,1
7.5,30,3.91421989642248,0,1,1,1
10,30,4.09463382306253,1,1,0,0
12.5,30,4.03021364853064,1,1,0,0
15,30,4.00948975419802,1,1,0,0
17.5,30,3.49873211373649,1,1,0,0
20,30,3.87185524882713,1,1,0,0
22.5,30,3.7283097708909,1,1,0,0
25,30,3.7965657773305,0,1,1,1
27.5,30,3.67910208922522,0,1,1,1
30,30,3.79430549143966,0,1,1,1
32.5,30,3.79085722751347,0,1,1,1
0,32.5,3.79576850791047,0,1,1,1
2.5,32.5,3.94469172338907,0,1,1,1
5,32.5,3.95980152594164,0,1,1,1
7.5,32.5,3.93479567985983,0,1,1,1
10,32.5,4.14517949250336,1,1,0,0
12.5,32.5,3.94361827914605,1,1,0,0
15,32.5,3.9847525166742,1,1,0,0
17.5,32.5,3.56403176094395,1,1,0,0
20,32.5,3.93825833441279,1,1,0,0
22.5,32.5,3.64859370167009,1,1,0,0
25,32.5,3.70015178564402,0,1,1,1
27.5,32.5,3.65343255378903,0,1,1,1
30,32.5,3.86005221012172,0,1,1,1
32.5,32.5,3.85753164468172,0,1,1,1
0,35,3.79360648491951,0,1,1,1
2.5,35,3.92868767355318,0,1,1,1
5,35,4.05668738445297,0,1,1,1
7.5,35,4.05127917634521,0,1,1,1
10,35,4.15653401958893,1,1,0,0
12.5,35,4.00602293506301,1,1,0,0
15,35,3.9781401884794,1,1,0,0
17.5,35,3.73994270335368,1,1,0,0
20,35,3.82612891805195,1,1,0,0
22.5,35,3.66656648266228,1,1,0,0
25,35,3.77578457484668,0,1,1,1
27.5,35,3.68841527815811,0,1,1,1
30,35,3.92058174237865,0,1,1,1
32.5,35,3.82087443516957,0,1,1,1
0,37.5,3.75349093977712,0,1,1,1
2.5,37.5,3.90220902022202,0,1,1,1
5,37.5,3.98438295006661,0,1,1,1
7.5,37.5,3.97895808756896,0,1,1,1
10,37.5,4.04853888894605,1,1,0,0
12.5,37.5,4.07113645377483,1,1,0,0
15,37.5,3.96069778829026,1,1,0,0
17.5,37.5,3.71929267974342,1,1,0,0
20,37.5,3.76025377807695,1,1,0,0
22.5,37.5,3.59282853429306,1,1,0,0
25,37.5,3.74823793892427,0,1,1,1
27.5,37.5,3.79184636413991,0,1,1,1
30,37.5,3.8234230092865,0,1,1,1
32.5,37.5,3.59443109288145,0,1,1,1
0,40,3.41990143929391,0,1,1,0
2.5,40,3.64455753661747,0,1,1,0
5,40,3.76559324630529,0,1,1,0
7.5,40,3.58920630876372,0,1,1,0
10,40,3.8396126432964,1,1,0,1
12.5,40,3.79159575214096,1,1,0,1
15,40,3.84189653163311,1,1,0,1
17.5,40,3.75201374667966,1,1,0,1
20,40,3.64802052050147,1,1,0,1
22.5,40,3.50930979485241,1,1,0,1
25,40,3.65783230579333,0,1,1,0
27.5,40,4.06686899602768,0,1,1,0
30,40,3.86893303779327,0,1,1,0
32.5,40,3.51565623464909,0,1,1,0
0,42.5,3.69518638453181,0,1,1,0
2.5,42.5,3.75896463832241,0,1,1,0
5,42.5,3.98932363994605,0,1,1,0
7.5,42.5,3.99357625644354,0,1,1,0
10,42.5,4.12968401547671,1,1,0,1
12.5,42.5,4.04379504764719,1,1,0,1
15,42.5,4.00292063912732,1,1,0,1
17.5,42.5,3.80448380072879,1,1,0,1
20,42.5,3.86519454859981,1,1,0,1
22.5,42.5,3.72703344240391,1,1,0,1
25,42.5,3.98986834591892,0,1,1,0
27.5,42.5,3.91302244307456,0,1,1,0
30,42.5,4.05393791544962,0,1,1,0
32.5,42.5,3.81455474999908,0,1,1,0
0,45,3.83150217000434,0,1,1,0
2.5,45,3.8961662673251,0,1,1,0
5,45,4.02775809321931,0,1,1,0
7.5,45,3.90563101813801,0,1,1,0
10,45,4.04637489432009,1,1,0,1
12.5,45,4.07976068422311,1,1,0,1
15,45,4.03791001574883,1,1,0,1
17.5,45,3.80005260521431,1,1,0,1
20,45,3.80744479064186,1,1,0,1
22.5,45,3.8811272431825,1,1,0,1
25,45,4.00667134045534,0,1,1,0
27.5,45,3.8450096705965,0,1,1,0
30,45,4.13897066303003,0,1,1,0
32.5,45,3.91411173199922,0,1,1,0
0,47.5,3.88919445160407,0,1,1,0
2.5,47.5,3.9238510571806,0,1,1,0
5,47.5,4.01491724153847,0,1,1,0
7.5,47.5,3.89878088857248,0,1,1,0
10,47.5,3.9760445088247,1,1,0,1
12.5,47.5,3.9416538033496,1,1,0,1
15,47.5,3.87355189370633,1,1,0,1
17.5,47.5,3.82924052837798,1,1,0,1
20,47.5,3.7470004996442,1,1,0,1
22.5,47.5,3.83208406606172,1,1,0,1
25,47.5,3.85647268887194,0,1,1,0
27.5,47.5,3.8892300503736,0,1,1,0
30,47.5,4.18529880127122,0,1,1,0
32.5,47.5,4.02857088965594,0,1,1,0
0,50,3.84305204107397,0,1,1,0
2.5,50,3.86710822267048,0,1,1,0
5,50,3.86674377980422,0,1,1,0
7.5,50,3.84406496688661,0,1,1,0
10,50,3.93202080317759,1,1,0,1
12.5,50,3.94597490590593,1,1,0,1
15,50,3.94774178869186,1,1,0,1
17.5,50,3.78709974475636,1,1,0,1
20,50,3.75658321501935,1,1,0,1
22.5,50,3.78682312077575,1,1,0,1
25,50,3.78876993158773,0,1,1,0
27.5,50,3.92027647585545,0,1,1,0
30,50,4.20367383275951,0,1,1,0
32.5,50,4.18609779890502,0,1,1,0
0,52.5,3.77874584268249,0,1,1,0
2.5,52.5,3.7712309701645,0,1,1,0
5,52.5,3.86458082370577,0,1,1,0
7.5,52.5,3.87639885321135,0,1,1,0
10,52.5,3.91288653882145,1,1,0,1
12.5,52.5,3.82996831757968,1,1,0,1
15,52.5,3.85415314270026,1,1,0,1
17.5,52.5,3.73393812549327,1,1,0,1
20,52.5,3.77869345220396,1,1,0,1
22.5,52.5,3.77491688238637,1,1,0,1
25,52.5,3.94193693961179,0,1,1,0
27.5,52.5,3.97154604859696,0,1,1,0
30,52.5,4.12416597673125,0,1,1,0
32.5,52.5,4.21373715592784,0,1,1,0
0,55,3.7303949831384,0,1,1,0
2.5,55,3.85557077073037,0,1,1,0
5,55,3.89822597595306,0,1,1,0
7.5,55,3.91894631718068,0,1,1,0
10,55,3.93818021948163,1,1,0,1
12.5,55,3.99683927815283,1,1,0,1
15,55,3.99375775894499,1,1,0,1
17.5,55,3.87502066357513,1,1,0,1
20,55,3.90742494109247,1,1,0,1
22.5,55,3.86851077877627,1,1,0,1
25,55,4.03647449770778,0,1,1,0
27.5,55,3.86341885476406,0,1,1,0
30,55,3.97226415320282,0,1,1,0
32.5,55,4.03645793375704,0,1,1,0
0,57.5,3.54938052466801,0,1,1,0
2.5,57.5,3.71001522266965,0,1,1,0
5,57.5,3.89193946676848,0,1,1,0
7.5,57.5,3.9822578737399,0,1,1,0
10,57.5,4.1043299088185,1,1,0,1
12.5,57.5,3.96624739846769,1,1,0,1
15,57.5,3.89979738174343,1,1,0,1
17.5,57.5,3.83786175604288,1,1,0,1
20,57.5,3.87760522979769,1,1,0,1
22.5,57.5,3.75500627415943,1,1,0,1
25,57.5,3.86773989361408,0,1,1,0
27.5,57.5,3.8081325079225,0,1,1,0
30,57.5,3.94366541855252,0,1,1,0
32.5,57.5,4.01722736333454,0,1,1,0
0,60,3.49034764903462,0,1,1,0
2.5,60,3.76889387058102,0,1,1,0
5,60,3.89082698407365,0,1,1,0
7.5,60,3.89359522087568,0,1,1,0
10,60,4.01441581247382,1,1,0,1
12.5,60,4.05035735798362,1,1,0,1
15,60,3.95239717496717,1,1,0,1
17.5,60,3.8900481947946,1,1,0,1
20,60,3.82399029875194,1,1,0,1
22.5,60,3.83342958127017,1,1,0,1
25,60,3.85269763923354,0,1,1,0
27.5,60,3.89011042544634,0,1,1,0
30,60,3.94566184858376,0,1,1,0
32.5,60,4.01010411452546,0,1,1,0
0,62.5,3.71300125969445,0,1,1,0
2.5,62.5,3.83111508367952,0,1,1,0
5,62.5,3.89159197040382,0,1,1,0
7.5,62.5,3.71751029226079,0,1,1,0
10,62.5,3.87302196085396,1,1,0,1
12.5,62.5,3.84793004831566,1,1,0,1
15,62.5,3.87582992635057,1,1,0,1
17.5,62.5,3.76487411287968,1,1,0,1
20,62.5,3.69032274421202,1,1,0,1
22.5,62.5,3.79998328019067,1,1,0,1
25,62.5,3.74187681037792,0,1,1,0
27.5,62.5,3.78293230707896,0,1,1,0
30,62.5,3.8411879051773,0,1,1,0
32.5,62.5,3.91980809042602,0,1,1,0
0,65,3.7164692880272,0,1,1,0
2.5,65,3.6394445369957,0,1,1,0
5,65,3.84688566017431,0,1,1,0
7.5,65,3.70741273328649,0,1,1,0
10,65,3.84459527239989,1,1,0,1
12.5,65,3.8097852655761,1,1,0,1
15,65,3.83178992320677,1,1,0,1
17.5,65,3.75179005584697,1,1,0,1
20,65,3.71299241441665,1,1,0,1
22.5,65,3.87477605039743,1,1,0,1
25,65,3.7613296433671,0,1,1,0
27.5,65,3.79177429272274,0,1,1,0
30,65,3.80398253183755,0,1,1,0
32.5,65,3.79573925893002,0,1,1,0
0,67.5,3.6188105708984,0,1,1,0
2.5,67.5,3.76775477883059,0,1,1,0
5,67.5,3.86784291694275,0,1,1,0
7.5,67.5,3.69300952352093,0,1,1,0
10,67.5,3.74039791076067,1,1,0,1
12.5,67.5,3.87616995417261,1,1,0,1
15,67.5,3.78023909847941,1,1,0,1
17.5,67.5,3.72151304003228,1,1,0,1
20,67.5,3.75164616946092,1,1,0,1
22.5,67.5,3.91827231589221,1,1,0,1
25,67.5,3.91871428067352,0,1,1,0
27.5,67.5,3.88047226155802,0,1,1,0
30,67.5,3.85529592417192,0,1,1,0
32.5,67.5,3.90624866772193,0,1,1,0
0,70,3.67391197286741,0,1,1,0
2.5,70,3.89968383647376,0,1,1,0
5,70,3.89138702272693,0,1,1,0
7.5,70,3.89437142940083,0,1,1,0
10,70,4.04733368805881,1,1,0,1
12.5,70,3.94021638084408,1,1,0,1
15,70,3.91698322792082,1,1,0,1
17.5,70,3.86815274173237,1,1,0,1
20,70,3.90303821413099,1,1,0,1
22.5,70,3.98318132485097,1,1,0,1
25,70,3.95311437081352,0,1,1,0
27.5,70,3.9302564887721,0,1,1,0
30,70,3.78109846316566,0,1,1,0
32.5,70,3.89237462983984,0,1,1,0
0,72.5,3.58856808358147,0,1,1,0
2.5,72.5,3.87981810654125,0,1,1,0
5,72.5,3.92518089724024,0,1,1,0
7.5,72.5,3.97965890017266,0,1,1,0
10,72.5,4.04850369237053,1,1,0,1
12.5,72.5,3.88843487088125,1,1,0,1
15,72.5,3.89906519930952,1,1,0,1
17.5,72.5,3.86822383541556,1,1,0,1
20,72.5,3.91281705597541,1,1,0,1
22.5,72.5,3.92031456327498,1,1,0,1
25,72.5,3.97362562381228,0,1,1,0
27.5,72.5,3.95893428876615,0,1,1,0
30,72.5,3.79537447710003,0,1,1,0
32.5,72.5,3.90857691155732,0,1,1,0
0,75,3.60810189091598,0,1,1,0
2.5,75,3.7315322827126,0,1,1,0
5,75,3.9525099486718,0,1,1,0
7.5,75,3.82664188510261,0,1,1,0
10,75,3.96084469054021,1,1,0,1
12.5,75,3.83599419595584,1,1,0,1
15,75,3.81044309112569,1,1,0,1
17.5,75,3.81698320608677,1,1,0,1
20,75,3.94361061793058,1,1,0,1
22.5,75,3.85385358720728,1,1,0,1
25,75,3.84420563455984,0,1,1,0
27.5,75,3.86774033604347,0,1,1,0
30,75,3.79234128789835,0,1,1,0
32.5,75,3.86386041332064,0,1,1,0
0,77.5,3.64018980496687,0,1,1,0
2.5,77.5,3.81733775206641,0,1,1,0
5,77.5,3.90108096972454,0,1,1,0
7.5,77.5,3.81436778981662,0,1,1,0
10,77.5,3.91108938804002,1,1,0,1
12.5,77.5,3.82441795407171,1,1,0,1
15,77.5,3.83709468297089,1,1,0,1
17.5,77.5,3.82246178740254,1,1,0,1
20,77.5,3.92332068897672,1,1,0,1
22.5,77.5,3.9273138488167,1,1,0,1
25,77.5,3.86401021373385,0,1,1,0
27.5,77.5,3.91809805207669,0,1,1,0
30,77.5,3.73592635496752,0,1,1,0
32.5,77.5,3.83096761930604,0,1,1,0
0,80,3.7172049116143,0,0,0,1
2.5,80,3.89740155778704,0,0,0,1
5,80,3.99707322617436,0,0,0,1
7.5,80,3.98163620391778,0,0,0,1
10,80,4.11796863183947,1,0,1,0
12.5,80,4.02454140320341,1,0,1,0
15,80,3.90895751280173,1,0,1,0
17.5,80,3.81457705178917,1,0,1,0
20,80,3.96876394256889,1,0,1,0
22.5,80,3.84760288148234,1,0,1,0
25,80,3.86770157991512,0,0,0,1
27.5,80,3.98797743643253,0,0,0,1
30,80,3.91811398904873,0,0,0,1
32.5,80,3.92657463618682,0,0,0,1
0,82.5,3.65767554063142,0,0,0,1
2.5,82.5,3.81995930572132,0,0,0,1
5,82.5,3.98044669513439,0,0,0,1
7.5,82.5,4.01292659634749,0,0,0,1
10,82.5,4.1173037914307,1,0,1,0
12.5,82.5,3.97915612955059,1,0,1,0
15,82.5,3.86411742316061,1,0,1,0
17.5,82.5,3.75233577335808,1,0,1,0
20,82.5,3.93148346620963,1,0,1,0
22.5,82.5,3.81012874043202,1,0,1,0
25,82.5,3.83215835069755,0,0,0,1
27.5,82.5,3.97005908570841,0,0,0,1
30,82.5,3.86576826841845,0,0,0,1
32.5,82.5,3.86671401172465,0,0,0,1
0,85,3.70466959032528,0,0,0,1
2.5,85,3.82861372632724,0,0,0,1
5,85,3.85984378914817,0,0,0,1
7.5,85,3.94937677429052,0,0,0,1
10,85,3.9861333923218,1,0,1,0
12.5,85,3.88653190707767,1,0,1,0
15,85,3.76086935113868,1,0,1,0
17.5,85,3.79858978202541,1,0,1,0
20,85,3.89938334124994,1,0,1,0
22.5,85,3.8114703893925,1,0,1,0
25,85,3.75059876083213,0,0,0,1
27.5,85,3.83746776494269,0,0,0,1
30,85,3.85885051939431,0,0,0,1
32.5,85,3.892454665211,0,0,0,1
0,87.5,3.70322236649861,0,0,0,1
2.5,87.5,3.85517839661434,0,0,0,1
5,87.5,3.94889267905763,0,0,0,1
7.5,87.5,4.07465871413653,0,0,0,1
10,87.5,4.02352792812315,1,0,1,0
12.5,87.5,3.91844452657147,1,0,1,0
15,87.5,3.8082553799848,1,0,1,0
17.5,87.5,3.83593398745457,1,0,1,0
20,87.5,3.88381458545294,1,0,1,0
22.5,87.5,3.80269484105253,1,0,1,0
25,87.5,3.74466746414516,0,0,0,1
27.5,87.5,3.85500996806812,0,0,0,1
30,87.5,3.87758036390754,0,0,0,1
32.5,87.5,3.85319403248826,0,0,0,1
0,90,3.67647310795204,0,0,0,1
2.5,90,3.91283026175185,0,0,0,1
5,90,3.99292207448057,0,0,0,1
7.5,90,4.1036585908373,0,0,0,1
10,90,4.06823394629617,1,0,1,0
12.5,90,4.02945988263397,1,0,1,0
15,90,3.97780956512563,1,0,1,0
17.5,90,3.95882231008831,1,0,1,0
20,90,3.98300969876318,1,0,1,0
22.5,90,3.82222248564145,1,0,1,0
25,90,3.88458191522512,0,0,0,1
27.5,90,4.01867612403159,0,0,0,1
30,90,4.00275643798082,0,0,0,1
32.5,90,3.96489101287565,0,0,0,1
0,92.5,3.76994019840133,0,0,0,1
2.5,92.5,3.96303990260563,0,0,0,1
5,92.5,3.92735135404172,0,0,0,1
7.5,92.5,4.02209652856975,0,0,0,1
10,92.5,4.11294514570933,1,0,1,0
12.5,92.5,4.07479663306567,1,0,1,0
15,92.5,3.91125455190673,1,0,1,0
17.5,92.5,3.825446985988,1,0,1,0
20,92.5,3.96738987345106,1,0,1,0
22.5,92.5,3.82004099611105,1,0,1,0
25,92.5,3.84517932528987,0,0,0,1
27.5,92.5,3.87812859372626,0,0,0,1
30,92.5,3.88929272227268,0,0,0,1
32.5,92.5,4.04896476246643,0,0,0,1
0,95,3.7117462491626,0,0,0,1
2.5,95,3.89906744320979,0,0,0,1
5,95,3.91128003402181,0,0,0,1
7.5,95,4.04207110625163,0,0,0,1
10,95,4.04303200998015,1,0,1,0
12.5,95,4.05568062791053,1,0,1,0
15,95,3.90578697589485,1,0,1,0
17.5,95,3.9026531953049,1,0,1,0
20,95,3.85527530265001,1,0,1,0
22.5,95,3.76236391468466,1,0,1,0
25,95,3.76176989903362,0,0,0,1
27.5,95,3.82704859329997,0,0,0,1
30,95,3.83758490807358,0,0,0,1
32.5,95,3.87786601479295,0,0,0,1
0,97.5,3.71851445696927,0,0,0,1
2.5,97.5,3.94044268646997,0,0,0,1
5,97.5,3.96825207307611,0,0,0,1
7.5,97.5,4.1705886904898,0,0,0,1
10,97.5,4.05825339269616,1,0,1,0
12.5,97.5,4.00234065589711,1,0,1,0
15,97.5,3.88940275838772,1,0,1,0
17.5,97.5,3.88916395619949,1,0,1,0
20,97.5,3.89963857535666,1,0,1,0
22.5,97.5,3.79225839339779,1,0,1,0
25,97.5,3.78319882893062,0,0,0,1
27.5,97.5,3.77107735732122,0,0,0,1
30,97.5,3.80627996450292,0,0,0,1
32.5,97.5,3.8377489162895,0,0,0,1
0,100,3.6930842554304,0,0,0,1
2.5,100,4.02670759638668,0,0,0,1
5,100,3.9646073361401,0,0,0,1
7.5,100,4.01571990032842,0,0,0,1
10,100,4.0518326336109,1,0,1,0
12.5,100,4.00535462632333,1,0,1,0
15,100,3.82785859176068,1,0,1,0
17.5,100,3.87455346798073,1,0,1,0
20,100,3.96456362089362,1,0,1,0
22.5,100,3.84650002092539,1,0,1,0
25,100,3.86989032696601,0,0,0,1
27.5,100,3.93855412590176,0,0,0,1
30,100,3.89598209050573,0,0,0,1
32.5,100,3.88931278463717,0,0,0,1
0,102.5,3.42233351089693,0,0,0,1
2.5,102.5,3.73275976407924,0,0,0,1
5,102.5,3.73573625880852,0,0,0,1
7.5,102.5,3.76369409061206,0,0,0,1
10,102.5,3.88470561379834,1,0,1,0
12.5,102.5,3.73879952980862,1,0,1,0
15,102.5,3.66042158507085,1,0,1,0
17.5,102.5,3.6444542300354,1,0,1,0
20,102.5,3.77606309948387,1,0,1,0
22.5,102.5,3.79477456191079,1,0,1,0
25,102.5,3.78902080675673,0,0,0,1
27.5,102.5,3.80364462018052,0,0,0,1
30,102.5,3.8469965578459,0,0,0,1
32.5,102.5,3.84984583844316,0,0,0,1
0,105,3.15255828498445,0,0,0,1
2.5,105,3.58931308020655,0,0,0,1
5,105,3.58186710748099,0,0,0,1
7.5,105,3.71958255125007,0,0,0,1
10,105,3.68066587295373,1,0,1,0
12.5,105,3.55262291364474,1,0,1,0
15,105,3.54341083254226,1,0,1,0
17.5,105,3.42479546432371,1,0,1,0
20,105,3.47354069950525,1,0,1,0
22.5,105,3.58119606742969,1,0,1,0
25,105,3.41429275922379,0,0,0,1
27.5,105,3.48053736486241,0,0,0,1
30,105,3.55520174804726,0,0,0,1
32.5,105,3.44574004402565,0,0,0,1
0,107.5,3.2646020992705,0,0,0,1
2.5,107.5,3.75999841244435,0,0,0,1
5,107.5,3.96757956664054,0,0,0,1
7.5,107.5,4.12937978611434,0,0,0,1
10,107.5,4.03952768359875,1,0,1,0
12.5,107.5,3.84679057665335,1,0,1,0
15,107.5,3.77672722024719,1,0,1,0
17.5,107.5,3.73846029433131,1,0,1,0
20,107.5,3.87132621451674,1,0,1,0
22.5,107.5,3.82604712219454,1,0,1,0
25,107.5,3.89321216265031,0,0,0,1
27.5,107.5,3.90374323103155,0,0,0,1
30,107.5,3.98189669551984,0,0,0,1
32.5,107.5,3.93031764418737,0,0,0,1
0,110,3.20124851557103,0,0,0,1
2.5,110,3.70123461794268,0,0,0,1
5,110,3.98947273409983,0,0,0,1
7.5,110,4.09411959463172,0,0,0,1
10,110,4.07210810542497,1,0,1,0
12.5,110,3.9243705238595,1,0,1,0
15,110,3.7507417353991,1,0,1,0
17.5,110,3.70525216808979,1,0,1,0
20,110,3.79229131816265,1,0,1,0
22.5,110,3.83546116348089,1,0,1,0
25,110,3.81434157768902,0,0,0,1
27.5,110,3.85490858573398,0,0,0,1
30,110,3.88421887772528,0,0,0,1
32.5,110,3.98297743674403,0,0,0,1
0,112.5,3.23605544755126,0,0,0,1
2.5,112.5,3.67184098944008,0,0,0,1
5,112.5,3.97186116895788,0,0,0,1
7.5,112.5,4.09873120159096,0,0,0,1
10,112.5,4.02373105368693,1,0,1,0
